Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2006,2006,m3,296200,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2006,2006,m3,590,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2006,2006,m3,56767,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2007,2007,m3,430000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2007,2007,m3,590,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2007,2007,m3,56767,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2008,2008,m3,430000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2008,2008,m3,590,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2008,2008,m3,56767,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2009,2009,m3,430000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2009,2009,m3,590,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2009,2009,m3,56767,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2010,2010,m3,430000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2010,2010,m3,1860,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2010,2010,m3,56767,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2011,2011,m3,1180000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2011,2011,m3,7006,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2011,2011,m3,15918,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2012,2012,m3,1180000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2012,2012,m3,6380,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2012,2012,m3,78900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2013,2013,m3,1180010,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2013,2013,m3,105000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2013,2013,m3,78900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2014,2014,m3,1180010,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2014,2014,m3,120000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2014,2014,m3,78900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2015,2015,m3,1180010,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2015,2015,m3,120000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2015,2015,m3,78900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2016,2016,m3,1180010,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2016,2016,m3,120000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2016,2016,m3,78900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2017,2017,m3,1230010,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2017,2017,m3,30472,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2017,2017,m3,26674,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2018,2018,m3,905349,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2018,2018,m3,23801,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2018,2018,m3,15356,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2019,2019,m3,917845,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2019,2019,m3,18464,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2019,2019,m3,14029,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2020,2020,m3,874458,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2020,2020,m3,39047,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2020,2020,m3,11804,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2021,2021,m3,1021914,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2021,2021,m3,23377,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2021,2021,m3,14261,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1861,Roundwood,2022,2022,m3,814830,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1861,Roundwood,2022,2022,m3,20958,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1861,Roundwood,2022,2022,m3,9327,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2006,2006,m3,221000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2006,2006,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2006,2006,m3,56300,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2007,2007,m3,350000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2007,2007,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2007,2007,m3,56300,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2008,2008,m3,350000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2008,2008,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2008,2008,m3,56300,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2009,2009,m3,350000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2009,2009,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2009,2009,m3,56300,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2010,2010,m3,350000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2010,2010,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2010,2010,m3,56300,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2011,2011,m3,1100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2011,2011,m3,6,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2011,2011,m3,7452,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2012,2012,m3,1100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2012,2012,m3,1380,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2012,2012,m3,75900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2013,2013,m3,1100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2013,2013,m3,100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2013,2013,m3,75900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2014,2014,m3,1100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2014,2014,m3,100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2014,2014,m3,75900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2015,2015,m3,1100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2015,2015,m3,100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2015,2015,m3,75900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2016,2016,m3,1100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2016,2016,m3,100000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2016,2016,m3,75900,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2017,2017,m3,1150000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2017,2017,m3,21376,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2017,2017,m3,26674,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2018,2018,m3,770399,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2018,2018,m3,8008,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2018,2018,m3,15356,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2019,2019,m3,786240,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2019,2019,m3,3530,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2019,2019,m3,14029,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2020,2020,m3,761682,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2020,2020,m3,13598,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2020,2020,m3,11804,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2021,2021,m3,884972,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2021,2021,m3,1375,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2021,2021,m3,14261,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1864,Wood fuel,2022,2022,m3,703292,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1864,Wood fuel,2022,2022,m3,2497,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1864,Wood fuel,2022,2022,m3,9327,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2006,2006,m3,97000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2006,2006,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2006,2006,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2007,2007,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2007,2007,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2007,2007,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2008,2008,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2008,2008,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2008,2008,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2009,2009,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2009,2009,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2009,2009,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2010,2010,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2010,2010,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2010,2010,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2011,2011,m3,8000,E,Estimated value,
