Area,Item,Year,c_t,delta_c_t,delta_c_t_converted
Albania,Paper and paperboard,2006,47557.670292520226,47557.670292520226,1.601697683668176e-05
Albania,Paper and paperboard,2007,48691.01345214051,-1133.3431596202863,-3.81699335228052e-07
Albania,Paper and paperboard,2008,44262.134207749965,4428.879244390548,1.4916049468684948e-06
Albania,Paper and paperboard,2009,37352.71716317067,6909.4170445792915,2.327026788261457e-06
Albania,Paper and paperboard,2010,28299.810139051966,9052.907024118707,3.0489340881937255e-06
Albania,Paper and paperboard,2011,28357.334760781912,-57.524621729946375,-1.9373752501336106e-08
Albania,Paper and paperboard,2012,27807.417445977302,549.9173148046102,1.852069884655595e-07
Albania,Paper and paperboard,2013,27029.716921196825,777.7005247804773,2.6192223493427253e-07
Albania,Paper and paperboard,2014,25929.8822915876,1099.834629609224,3.704139769311202e-07
Albania,Paper and paperboard,2015,24374.481242026646,1555.4010495609546,5.238444698685451e-07
Albania,Paper and paperboard,2016,22220.03449938166,2154.4467426449846,7.255974348734341e-07
Albania,Paper and paperboard,2017,17903.264598459627,4316.769900922034,1.4538475725802677e-06
Albania,Paper and paperboard,2018,20624.665513019783,-2721.400914560156,-9.165422768551828e-07
Albania,Paper and paperboard,2019,24473.3075950453,-3848.6420820255153,-1.2961865184169153e-06
Albania,Paper and paperboard,2020,26800.370323104147,-2327.0627280588487,-7.837328780734281e-07
Albania,Paper and paperboard,2021,30091.333993617904,-3290.9636705137564,-1.108365665449141e-06
Albania,Paper and paperboard,2022,33453.38754763665,-3362.0535540187484,-1.1323080707523912e-06
Andorra,Paper and paperboard,2006,2045.7962707722531,2045.7962707722531,4.232375011083484e-05
Andorra,Paper and paperboard,2007,2451.581114011031,-405.78484323877774,-8.394939686501288e-06
Andorra,Paper and paperboard,2008,3025.4475427247507,-573.8664287137199,-1.187223755995426e-05
Andorra,Paper and paperboard,2009,2722.605213641964,302.8423290827868,6.265249009494344e-06
Andorra,Paper and paperboard,2010,2721.6281207865827,0.9770928553812155,2.021424832817108e-08
Andorra,Paper and paperboard,2011,2720.246302818805,1.3818179677778062,2.8587264138873855e-08
Andorra,Paper and paperboard,2012,2718.2921171080425,1.954185710762431,4.042849665634216e-08
Andorra,Paper and paperboard,2013,2715.528481172487,2.7636359355556124,5.717452827774771e-08
Andorra,Paper and paperboard,2014,2711.6201097509625,3.908371421524407,8.085699331267493e-08
Andorra,Paper and paperboard,2015,2706.0928378798512,5.527271871111225,1.1434905655549542e-07
Andorra,Paper and paperboard,2016,2698.2760950368024,7.816742843048814,1.6171398662534986e-07
Andorra,Paper and paperboard,2017,2687.22155129458,11.05454374222245,2.2869811311099084e-07
Andorra,Paper and paperboard,2018,2671.588065608482,15.633485686098084,3.234279732507091e-07
Andorra,Paper and paperboard,2019,2649.4789781240365,22.109087484445354,4.573962262219911e-07
Andorra,Paper and paperboard,2020,2618.212006751841,31.266971372195712,6.468559465014089e-07
Andorra,Paper and paperboard,2021,2573.9938317829506,44.21817496889025,9.147924524439728e-07
